Density,DT,GR,RT,UCS
2.45568901,92.14690544,112.118602,10.22467446,37.39857893
2.471943669,91.2100817,116.3166883,10.22467446,40.76714112
2.477795279,90.43249349,119.604519,10.34629505,43.46197921
2.469993084,89.89162462,120.3323009,10.34629505,45.15535724
2.463491279,89.86104227,119.2028945,10.34629505,45.39841289
2.451787913,90.49691258,116.8414637,10.34629505,43.68655392
2.424480157,91.28971404,113.9552575,10.34629505,40.09341702
2.409525962,91.72263784,111.5938267,10.34629505,36.72488398
2.372465425,91.91541358,108.1828743,10.34629505,34.76166081
2.360762132,92.14690544,106.083802,10.34629505,33.58089649
2.348408645,92.59130294,104.7719219,10.22467446,32.42993449
2.338,93.00409683,104.3509137,10.22467446,31.55978249
2.333454376,93.11934802,103.4600127,10.22467446,31.33363662
2.335404962,93.00409683,101.0985818,10.22467446,31.55978249
2.34563,92.78524787,99.29045528,10.22467446,31.98720878
2.356861035,92.49618347,98.99950956,10.22467446,32.68262684
2.37181523,92.14690544,100.5738065,10.10300534,33.72546733
2.377016718,91.74516535,103.197625,9.49480533,34.92831553
2.38026762,91.28971404,104.2471465,8.886605319,36.05603637
2.369864718,90.76993991,104.0712348,8.400025897,36.94945868
2.342556962,90.14678246,104.3483838,8.278405307,37.53134007
2.328903084,89.39872109,106.870965,8.035115596,37.97618918
2.309397523,88.60284366,111.5938267,7.791825885,38.52145243
2.302245523,87.86089014,113.7975628,7.913446475,40.31799172
2.330853669,87.24613099,117.6285975,7.913446475,46.15681731
2.366613815,86.71795856,126.2871869,7.913446475,52.66933784
2.427731132,86.26997595,132.846704,8.035115596,58.89166909
2.477145157,86.14650735,139.9310256,8.156736186,66.81725241
2.507703815,86.62452722,141.0546666,8.035115596,76.24918574
2.529810084,87.86089014,139.9310256,7.913446475,79.39314408
2.520707498,89.57530209,141.3821055,7.913446475,76.47376044
2.50835401,90.39926372,140.1933841,7.791825885,65.91895361
2.480396059,90.71823367,133.1090917,7.913446475,53.56760749
2.460890498,91.2659355,126.0247992,7.913446475,44.13567416
2.397172474,92.00807573,108.445262,7.791825885,37.62315363
2.38026762,92.71835665,103.7223712,7.791825885,31.78432804
2.366613815,93.22410702,101.0985818,8.035115596,29.48178808
2.358161352,93.5671616,99.07064966,7.913446475,29.53863935
2.351659547,93.84298165,97.94998799,8.035115596,29.73100077
2.351009352,94.14702841,96.63807874,8.156736186,29.5381006
2.35023,94.54830584,93.48951404,8.521646486,28.8649444
2.358811547,95.00998868,91.39047091,9.251515619,27.9666456
2.369214523,95.46879437,95.06381097,9.738095041,27.99235995
2.380917815,95.86144036,98.12837837,11.44107449,28.415795
2.385469108,96.14718055,97.42524178,12.29256421,28.39309118
2.382,96.38798379,93.22712636,12.90081275,27.83567659
2.38156801,96.71863176,90.60330787,13.87392306,26.84380125
